Nœud,Schéma,Durée (s),Cache,Tentatives,OK,Prompt (car.),Réponse (car.),Erreur
initial_scan,GapFinderOutput,30.23,,1,true,5823,1086,
initial_scan,GapFinderOutput,56.49,,1,true,5817,4173,
initial_scan,GapFinderOutput,110.56,,1,true,5811,1587,
initial_scan,GapFinderOutput,79.15,,1,true,5762,1022,
gap_finder,GapFinderOutput,58.86,,1,true,6780,1802,
gap_filler,RagGrade,6.67,,1,true,5972,20,
gap_filler,QuestionDraft,7,,1,true,3431,302,
gap_filler,DedupVerdict,4,,1,true,4092,104,
gap_filler,RagGrade,7.67,,1,true,6134,448,
gap_filler,RagGrade,8.85,,1,true,5810,176,
gap_filler,QuestionDraft,8.14,,1,true,2719,287,
gap_filler,DedupVerdict,3.27,,1,true,3368,104,
gap_filler,RagGrade,2.17,,1,true,5651,20,
gap_filler,QuestionDraft,10.69,,2,true,2620,311,
gap_filler,DedupVerdict,2.31,,1,true,3164,104,
gap_finder,GapFinderOutput,3.25,,1,true,7088,55,
gap_filler,RagGrade,2.75,,1,true,6062,40,
gap_filler,QuestionDraft,2.99,,1,true,2714,274,
gap_filler,DedupVerdict,2.54,,1,true,3362,104,
gap_filler,QuestionDraft,3.8,,1,true,3900,313,
gap_filler,DedupVerdict,4.28,,1,true,4572,124,
gap_filler,RagGrade,2.37,,1,true,5779,40,
gap_filler,QuestionDraft,6.3,,2,true,2792,297,
gap_filler,DedupVerdict,3.37,,1,true,3327,104,
gap_filler,RagGrade,5.8,,1,true,6399,462,
gap_filler,QuestionDraft,4.51,,1,true,3273,173,
gap_filler,DedupVerdict,2.68,,1,true,3807,104,
